1;index;ROIC;EBIT/EV;EV
EQTL3.SA;598;0,5373934412696206;0,08723052076168647;36865253376
DISCK;598;0,6085730088495576;0,08190806860227894;33583382528
TAP;605;0,5312964050143316;0,08670008861426157;17744791552
TLK;606;0,26783950184513605;1827,7281993435042;22992340992
SAMG;606;0,3617420726665204;0,12173039122909468;176092016
ENBR3.SA;607;0,38050057023981754;0,11401191692526505;18962366464
KOF;608;0,2805702235063598;0,44900424910307024;56446570496
VIASP;616;0,4330381824831798;0,09457434289751757;538317248
UONE;617;0,5587099172943855;0,08286198504571685;1187833600
TGMA3.SA;617;0,3187970616217669;0,15376281142389744;1172416128
CGAS5.SA;617;2,4925079621342294;0,0662899217900824;23895166976
SJM;619;1,0435862691960254;0,07118319764860329;17852176384
MCK;622;0,5016359060402684;0,08638320619719392;34610315264
CTSA4.SA;624;0,3439923936199268;0,12573513239321255;400681568
DISCA;626;0,6085730088495576;0,07928086617633136;34696265728
LGO;640;0,401238038153897;0,09893027070452268;981150656
VIACP;644;0,556917061350369;0,08050273056040369;62808428544
GIB;646;0,7520131708486137;0,07307392245743165;23875131392
CPB;649;0,6877587991718427;0,07397057850037139;17963223040
ALUP3.SA;650;0,3065239808196125;0,14330591173280277;13831290880
BUD;653;0,7620955989507432;0,07241187208505459;216656461824
ALUP4.SA;654;0,3065239808196125;0,1426711485359652;13892828160
DXC;658;0,3440503432494279;0,11356091060466748;13239590912
HLF;664;0,49978200554894964;0,08111828965576802;7772291584
CELP;667;0,2984346903960533;0,14244401379733482;90881320
GIS;668;2,076283834203921;0,06361626407780856;48111124480
LFVN;672;0,3711955514365153;0,10213872554535938;98033336
CMIG3.SA;675;0,39309413774408775;0,09309192870045674;35407728640
CIEL3.SA;676;0,2835262144249238;0,1534823020417311;17825200128
HPE;681;5,505780346820809;0,06074737155632392;31359381504
PFG;690;0,37401249496170896;0,09577048206725179;19378100224
BIPC;691;0,31741573033707865;0,11816452958103138;7889423360
AMG;698;0,5949031937779249;0,07337566180887319;9798889472
ACCO;700;0,38274556684598526;0,09116394510826856;2107192704
VEON;702;0,29676630945666477;0,12971476256704823;12169008128
EPC;702;0,3416619718309859;0,1037586059435738;2922408192
ENIA;706;0,29790696800668953;0,1255512709640472;17746405376
REDU;706;0,25609573012561365;0,2031443340422777;407260928
CEBR3.SA;710;0,25030942272082807;0,2787027967373273;463686592
CEBR6.SA;712;0,25030942272082807;0,26055674307824334;495979296
THRY;715;0,48454387742569394;0,07770265013645188;1624719360
HBI;715;0,3837057787164946;0,08910350247403952;9982236672
AMGN;716;0,675209629429267;0,06964231917793669;143375466496
VGR;725;0,4227653751527333;0,08227358756177311;3103641856
LND;732;0,2557456627266593;0,16949892478181705;693143040
JHG;734;0,3506844380403458;0,09322878453665351;6265232384
PM;735;1,2757858820897192;0,06167493585732688;184908988416
ABC;744;1,6807664761197396;0,05991208318335702;31727677440
ALUP11.SA;755;0,3065239808196125;0,10689051243077367;18543327232
ERIC;757;0,2310953939265984;0,3076139467220824;42699624448
CAH;759;0,2995275464445868;0,10728671639647851;17432260608
CCEL;768;1,249645284855066;0,0598998222156872;85148120
IBM;773;0,7892775638282699;0,06326344011875253;174939111424
FOX;779;0,31259464916708735;0,09793761603278664;25291610112
MAN;784;0,27338722491459444;0,11505160656466919;5981880832
VALE;791;0,2196274211394886;0,4024759150130136;144500572160
LEA;798;0,2636340801768311;0,11732642715265931;11182263296
TSM;800;0,20852882360736164;2,9350176402850106;146242961408
GSK;802;0,8584019769357496;0,061057092508934215;128007241728
ELP;804;0,25377887922172176;0,12666729692596684;22801958912
UWMC;805;0,4232324100663981;0,07422333975409744;15057015808
CARD3.SA;807;0,4027632481415537;0,0767313360627952;757646784
DISH;807;0,6959416454508911;0,06288181258308853;35681652736
STC;810;0,3135226317879205;0,09079243161421538;1495903872
LMT;811;0,527383218626446;0,06767505848826748;106435076096
FOXA;811;0,31259464916708735;0,09135609471473216;27113680896
SGRP;813;0,23656464325928958;0,14317941824672062;48421764
NEOE3.SA;813;0,3844533731162132;0,07794444919151271;48766660608
CPLE3.SA;814;0,25377887922172176;0,12184179552608755;23705022464
UL;817;1,551853666503348;0,05684678871559651;167151042560
ARCC;821;5,716763005780347;0,05338748062270891;18524942336
WHR;821;0,3006361584239688;0,09293577854264438;15763573760
BHAT;822;0,21631225891621678;0,25917606801963156;32131900
TRTN;829;1,857323404255319;0,05561979817752509;11771105280
CPLE6.SA;831;0,25377887922172176;0,11557117513640384;24991201280
SHI;833;0,19821188130760312;11,8542743145092;259652208
TAEE11.SA;835;0,8409096911180597;0,05953140572708928;18720442368
TKC;846;0,19983195139926013;1,356983640991417;3725874688
STLA;847;0,28304405874499333;0,09370831632695231;52033802240
KTB;849;0,41023959183979264;0,07207465192777246;3798669056
