1
MKD
GMTX
SBS
SINO
GBL
RDN
BWMX
BRDG
SONY
MAPS
OMAB
ASR
RGA
GTX
CIXX
GTXAP
PRG
SIGA
KARO
ABEV
MO
WW
INVA
RMAX
EAF
WEBR
ORI
CAAP
QRTEA
QRTEB
DLX
ALSN
OMC
MFGP
PAC
AMCX
BIIB
GILD
VIAC
MCFT
VIA
CIG
VIACA
BTI
PINC
ERF
TGNA
KHC
HRB
LEE
BSIG
TVTY
SGU
EBIX
FNF
LX
REZI
ITRN
AER
HCC
CDK
EGY
LCI
EVC
UONEK
RLGY
MBT
SWBI
LEGH
TEVA
ONEW
PBH
DISCK
TAP
TLK
SAMG
KOF
VIASP
UONE
SJM
MCK
DISCA
LGO
VIACP
GIB
CPB
BUD
DXC
HLF
CELP
GIS
LFVN
HPE
PFG
BIPC
AMG
ACCO
VEON
EPC
ENIA
REDU
THRY
HBI
AMGN
VGR
LND
JHG
PM
ABC
ERIC
CAH
CCEL
IBM
FOX
MAN
VALE
LEA
TSM
GSK
ELP
UWMC
DISH
STC
LMT
FOXA
SGRP
UL
ARCC
WHR
BHAT
TRTN
SHI
TKC
STLA
KTB
INTC
GSS
TCOM
ASAI
URI
AYI
CRWS
RDY
WINA
CSCO
STX
MET
KBAL
TGS
FTI
TSN
MDP
K
GNE
CTSH
RRD
HBB
SBH
CURO
EGRX
REYN
EBR
MTOR
CR
XRX
LOPE
BDXB
ENDP
DGX
BABA
MAS
ALV
AMOV
CAG
AMX
KMB
CL
MSM
AMP
PUMP
IPG
MRK
ABBV
HIG
AAN
CVS
HEAR
TSQ
VTRU
MAIN
R
GORO
BBY
MMM
VEDL
EME
WNC
RIO
MYPS
LXFR
HUM
SEE
JCTCF
MIR
CHRW
CLX
SGH
ACY
CINR
EC
CAJ
CPRI
FTDR
CW
ODP
B
ANTM
QUAD
MHH
ENR
PHAR
EVOL
TM
WFG
QSR
WTM
SAIC
OSK
RCI
INT
LH
GD
GNTX
FLT
BBSI
GDEV
SRAD
JAZZ
SP
LYB
GTN
FMX
GPI
LPX
THO
CTXS
FMC
DISCB
ARW
QDEL
VIV
MOH
CCU
CASA
VZ
GSKY
CMCL
EBAY
SNX
JNPR
SWN
CBOE
CARS
CRTO
CHT
BGS
AFG
PG
TX
CNC
VEC
JNJ
HNI
CEPU
CSGS
MEI
LOMA
DOOO
DLHC
ZKIN
HOFT
BRC
DVA
AMWD
UHS
TIMB
FFIV
CMLS
UTHR
ENIC
BBL
FMS
RSVR
VIVO
HMC
EDUC
GWW
TV
TNET
HUBB
FONR
REGI
MU
PLOW
BBGI
CACI
PLUS
UFAB
BC
SID
SWK
FIX
GCMG
ATGE
PLTK
HI
MMI
CC
WTI
SON
MLR
BCE
AXL
BLBD
AENZ
PRGS
MGA
STRL
KRO
CWH
ASPS
RS
KOP
AN
CMCSA
RHI
SBSW
MDLZ
LDOS
ITW
ALLE
ABM
AU
AUD
STZ
HON
VHI
OI
HMLP
EHC
GHC
FBHS
PH
LEG
ARLP
MKC
MMC
GGB
HSIC
SCSC
EQNR
MOD
KFRC
MIDD
SCI
KBR
ORAN
CCK
MMS
MLI
GPRK
CHD
ORCL
SPB
TWNK
SGA
GIII
THC
SRLP
BAK
PHM
BHP
CPOP
BBWI
CBT
SMG
EMR
BWA
WLTW
WBT
RKT
ICE
PTVE
HCA
CARR
ADV
FYBR
TPB
ATUS
AVAH
SNFCA
YUM
HMTV
TPR
HD
VNTR
USDP
VVV
GPC
BCOR
LAKE
HSY
TUSK
EMN
ICFI
BLK
EEX
HOLI
T
SWM
STLD
HURN
GEF
CMI
HEES
CVGI
AA
TEF
OEC
BAH
VSTA
AOS
PLIN
TGI
HESM
FORTY
PEP
BKNG
SCS
JBSS
AMED
AJRD
BTG
TILE
TH
KO
AIT
WDC
CMPR
FL
ADP
PKG
SBGI
VSEC
DMS
DEN
WHD
SANM
ABG
LII
PFE
CPSI
MTZ
APOG
SNY
IMOS
SAP
VRSN
OTEX
WGO
AMN
MTEX
UGP
IOSP
PMD
CTS
JBT
SUN
AVY
CHE
ECPG
SXI
ERIE
MSI
CAT
BWXT
LECO
WH
FSTR
ATTO
TEX
HWM
TU
SSL
TEO
AON
BR
ULH
HAS
HOG
SAH
HRL
RRX
PATK
SNDR
SALM
WBA
TEL
OC
HELE
WWW
LRCX
SKM
SGC
ROCK
ASX
DOV
RLGT
MT
SLB
ROK
SRCL
HZO
ENFN
DAN
OSIS
ST
CGAU
AEG
CBZ
PKX
HAL
MTX
BRBR
AMCR
PPG
THS
LKQ
MSA
ESE
PRTH
BRO
SSNC
EVTC
PRTY
SPGI
UNM
CP
MKSI
V
GFI
IMKTA
DIN
SCCO
WMT
TKR
LOW
BOOM
CCEP
TXN
MHK
LW
IHRT
SFM
IDCC
SPWH
FLO
CPAC
QCOM
ATKR
PHG
CSAN
MCO
CBD
WIMI
KMDA
APH
LHX
CHH
LCII
LIVE
MYE
ARC
PLPC
FSS
KMT
CDW
RFP
STN
SMTS
HRC
HOLX
VMW
IP
RYAN
JBL
CSIQ
MHO
CX
FERG
LUMN
MTH
QRTEP
AZZ
REPH
CORR
PGTI
CLS
RYI
G
FWRD
SJR
PRGO
AY
ESGR
KLAC
SLGN
ACN
SRI
UNVR
ITGR
TPC
MAX
MFC
PTN
AAPL
DENN
CMTL
CCMP
UI
OBCI
BIG
CAR
WAB
DLTR
CSL
SND
GLOP
KE
ARCE
GTES
HRI
EBS
MMP
BMY
PAA
XP
DCI
RPM
CXW
PKOH
GOLF
AME
FNKO
AVT
WAT
MA
ETRN
ADI
WSM
DPZ
TT
SPXC
LAZY
SYY
HUN
SEM
ACIW
MOV
DHI
TTMI
CIGI
AWI
MPAA
UGI
AVYA
LNC
SII
MUSA
SNP
TPX
AMS
DOW
EML
IX
BKI
TAK
ETN
AMAT
DNB
TTC
CRMT
AXTA
MATW
IGT
SHW
SWI
ALG
JELD
KAI
KT
LLY
VC
AGCO
BLD
LMB
CECE
JOAN
MERC
TER
TEN
CERN
PTR
TCS
TTE
GEO
CBRE
WSO
BHC
PAGP
AFYA
CTAS
GAMB
WOW
KSS
DEO
KRA
FDS
OVV
TDG
ROST
LGIH
IEX
LESL
BEDU
ROL
TMX
JCI
GMS
OLLI
TRN
AZPN
GCI
KAR
ZBH
PVH
CMCO
EZPW
INFO
FRD
CNI
FAST
ERO
FSI
ESCA
TRMB
FUL
DHT
KN
CVI
IRS
VTRS
MTD
SIX
WTS
CE
ESI
DD
MMLP
CEIX
KGC
UFPI
OCN
CPA
CSV
BRFS
WES
ITT
SYK
ARCH
TTEK
MCHP
SYNH
RMCF
LHCG
MDT
FORR
FTV
TGLS
LEN
VFC
AIN
HMN
PTNR
EPD
CPS
SENEB
MWA
ECL
ATRO
MDC
TECK
BIOX
HA
EEFT
SXT
E
VPG
TNL
GOLD
RBA
FLEX
MESA
GT
CSTE
SFL
HXL
EA
CODA
VRNT
PVG
UNP
UFPT
VMI
IRCP
SXC
WERN
WLK
KBH
MCD
TXT
WEX
EDN
HWKN
RNW
IIIV
RL
WOR
M
PPD
CMC
RSG
JACK
GCP
FLNT
SVT
PKI
SPTN
BAX
MKL
IPGP
HUBG
VMD
ACM
BH
AIMC
FISV
CPLP
GLDD
XELA
MEDP
HLT
AZUL
BDX
SNN
SENEA
TOL
MORN
ARRY
DAC
SECO
ARES
ESLT
ATR
IT
TRI
MODV
AVGO
GRBK
PSMT
AJG
TNK
DLNG
SUP
ACHC
PAG
SMPL
DIS
SUZ
BERY
DECK
ULBI
MPLX
KR
GPK
PSFE
MTCH
CRS
PLXS
AAWW
CENTA
BDL
WRK
IPAR
ABB
IAG
AES
ADS
RUSHA
AEIS
GLP
VG
EXP
KNX
BELFB
RUSHB
KNOP
CSX
TGT
SCL
INTG
MGIC
CIEN
CVCO
PANL
GSL
DY
FLS
WNS
AZN
RACE
MSFT
ATI
IQV
THR
YGMZ
SMLP
GRFS
THRM
LAD
CTOS
LVS
RTX
CTRA
HEI
DXPE
AHCO
ACA
UFS
BELFA
TSE
GOGO
TFX
WWD
XRAY
ECVT
IEA
CNO
GPN
ADBE
DG
EVRI
COCO
BHE
A
HLIO
CENT
DSEY
CLW
ADSK
CRCT
BSX
IPLDP
GAU
KFY
TGP
ET
WM
RMD
KODK
BCPC
KMI
LFUS
HNP
WING
MEOH
VST
IBP
SGMS
CHTR
DKS
YETI
COHR
TNC
HGBL
PSO
ATC
VLO
TFII
STNE
MNRO
MTW
TJX
GNOG
BLL
COMM
CRH
RICK
GFF
TR
BMBL
CRNC
